Prompt,Response,Subject,Language,Verified Translation,Status
Are there any challenges faced by Ukrainian schools and kindergartens in Romania?,"Yes, there are challenges faced by Ukrainian schools and kindergartens in Romania, such as adapting to remote education, utilizing various learning platforms, and ensuring access to free education in private schools. Additionally, maintaining Ukrainian language and culture in a different country presents its own set of obstacles. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How are Ukrainian schools and kindergartens in Romania regulated by the Romanian government?,"Ukrainian schools and kindergartens in Romania are regulated by the Romanian government through various measures such as providing information about online and part-time kindergartens, offering Ukrainian schools and classes in different cities, facilitating remote education through learning platforms, and ensuring free education in private schools for Ukrainian students. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do Ukrainian schools in Romania offer any vocational or technical education programs?,"Based on the information provided, there is no specific mention of vocational or technical education programs being offered in Ukrainian schools in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any bilingual programs available in Ukrainian schools in Romania?,"Yes, there are Ukrainian schools and classes available in different cities of Romania, which may offer bilingual programs for students. Additionally, there are various learning platforms and resources available to continue education remotely for Ukrainian-speaking students in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the role of parents in the Ukrainian school community in Romania?,"The role of parents in the Ukrainian school community in Romania involves supporting their children's education by utilizing resources such as Ukrainian online kindergartens, part-time kindergartens, schools, classes, and learning platforms. Parents can also help facilitate remote education for their children and take advantage of free education opportunities in private schools in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Does the Ukrainian government provide any support or resources to Ukrainian schools in Romania?,"Yes, the Ukrainian government provides support and resources to Ukrainian schools in Romania, including online kindergartens, part-time kindergartens, schools, classes in different cities, learning platforms, and access to free education in private schools. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any Ukrainian cultural centers or organizations near Ukrainian schools in Romania?,"Yes, there are Ukrainian schools and classes in different cities of Romania, which may have cultural centers or organizations nearby to support Ukrainian cultural activities. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How do Ukrainian schools in Romania address the needs of students with disabilities?,"Ukrainian schools in Romania address the needs of students with disabilities through various learning platforms, including online kindergartens and part-time kindergartens. Additionally, there are Ukrainian schools and classes in different cities of Romania that offer free education in private schools to cater to the needs of students with disabilities. Remote education options are also available to ensure all students have access to education. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the admission requirements for Ukrainian schools and kindergartens in Romania?,"The admission requirements for Ukrainian schools and kindergartens in Romania may vary depending on the specific institution. Some may offer online or part-time options, while others may have classes in different cities. Continuing education remotely, utilizing various learning platforms, and potentially accessing free education in private schools are all possibilities for Ukrainian students in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any Ukrainian language proficiency tests required for enrollment in Ukrainian schools in Romania?,"There is no mention of Ukrainian language proficiency tests being required for enrollment in Ukrainian schools in Romania in the information provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do Ukrainian schools in Romania have sports teams or athletic programs?,"Based on the information provided, there is no specific mention of sports teams or athletic programs in Ukrainian schools in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How do Ukrainian schools in Romania address issues of diversity and inclusion?,"Ukrainian schools in Romania address issues of diversity and inclusion by offering online kindergartens, part-time kindergartens, schools, and classes in different cities. They also provide opportunities for remote learning through various platforms and offer free education in private schools to promote accessibility and inclusion for all students. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any summer programs or camps offered by Ukrainian schools in Romania?,"Yes, there are Ukrainian schools and classes in different cities of Romania that may offer summer programs or camps for students. Additionally, there may be options for continuing education remotely through various learning platforms or online kindergartens. Some private schools in Romania also offer free education, providing potential opportunities for summer programs or camps. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What courses are available for refugees from Ukraine?,"Free courses and activities available for refugees from Ukraine in Romania include language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What activities are offered to refugees from Ukraine?,"Refugees from Ukraine are offered free courses and activities in Romania, including language courses, yoga, drawing classes, chess, music, and more. They can find the schedule and sign up for courses by clicking on the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can refugees from Ukraine enroll in courses and activities?,"Refugees from Ukraine can enroll in free courses and activities for adults and children in Romania by signing up for language courses, yoga, drawing classes, chess, music, and more. They can find the schedule and sign up for courses by following the link provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there language courses specifically tailored for refugees from Ukraine?,"Yes, there are language courses specifically tailored for refugees from Ukraine in Romania, along with other activities such as yoga, drawing classes, chess, and music. The courses are free and individuals can find out the schedule and sign up for them through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What vocational training programs are available for refugees from Ukraine?,"There are free vocational training programs available for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any cultural integration activities for refugees from Ukraine?,"Yes, there are cultural integration activities for refugees from Ukraine in Romania, including free courses and activities for adults and children such as language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the eligibility criteria for refugees from Ukraine to participate in courses and activities?,"The eligibility criteria for refugees from Ukraine to participate in courses and activities in Romania are not specified in the information provided. Interested individuals can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can refugees from Ukraine access educational resources and materials?,"Refugees from Ukraine can access educational resources and materials by signing up for free courses and activities for adults and children in Romania. These include language courses, yoga, drawing classes, chess, music, and more. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any sports programs for refugees from Ukraine to participate in?,"Yes, there are free courses and activities available for refugees from Ukraine to participate in, including sports programs such as yoga, chess, and more in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What mental health support services are available for refugees from Ukraine?,"Free courses and activities such as language courses, yoga, drawing classes, chess, and music are available for refugees from Ukraine in Romania. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any entrepreneurship courses for refugees from Ukraine?,"Yes, there are free courses and activities available for refugees from Ukraine in Romania, including entrepreneurship courses. They can find more information and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the fees associated with participating in courses and activities for refugees from Ukraine?,"There are no fees associated with participating in courses and activities for refugees from Ukraine in Romania. All courses and activities for adults and children are free of charge. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any online courses available for refugees from Ukraine?,"Yes, there are free online courses and activities available for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the duration of the courses and activities for refugees from Ukraine?,"The duration of the courses and activities for refugees from Ukraine varies depending on the specific program chosen, such as language courses, yoga, drawing classes, chess, music, and more. Participants can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can refugees from Ukraine get involved in community service projects?,"Refugees from Ukraine can get involved in community service projects by participating in free courses and activities offered in Romania, such as language courses, yoga, drawing classes, chess, music, and more. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any art or music classes offered for refugees from Ukraine?,"Yes, there are art and music classes offered for refugees from Ukraine in Romania. These courses are part of the free courses and activities available for adults and children, which also include language courses, yoga, drawing classes, chess, and more. Interested individuals can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the rules and regulations for refugees from Ukraine participating in courses and activities?,"Refugees from Ukraine can participate in free courses and activities in Romania, including language courses, yoga, drawing classes, chess, music, and more. They can find the schedule and sign up for courses using the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any transportation services provided for refugees from Ukraine to attend courses and activities?,"Yes, free courses and activities are available for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any job placement services available for refugees from Ukraine?,"Yes, there are free courses and activities available for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the hours of operation for courses and activities for refugees from Ukraine?,"The hours of operation for courses and activities for refugees from Ukraine vary depending on the specific course or activity. More information can be found in the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the age restrictions for refugees from Ukraine to participate in courses and activities?,"There are no specific age restrictions mentioned for refugees from Ukraine to participate in courses and activities offered in Romania. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What kind of support systems are in place for refugees from Ukraine during their participation in courses and activities?,"Refugees from Ukraine participating in courses and activities in Romania have access to free classes for adults and children, including language courses, yoga, drawing classes, chess, music, and more. They can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any specialized courses for women refugees from Ukraine?,"Yes, there are free courses and activities available for adult women refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. The schedule and sign-up information can be found in the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any courses focused on trauma healing for refugees from Ukraine?,"Yes, there are free courses and activities offered for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. Interested individuals can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can refugees from Ukraine give feedback on the courses and activities they have participated in?,"Refugees from Ukraine can give feedback on the courses and activities they have participated in by filling out a feedback form provided by the organizers of the free courses and activities in Romania. The feedback form may be accessible through the link where they can also find the schedule and sign up for courses. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any scholarships or financial aid options available for refugees from Ukraine?,"There are free courses and activities available for refugees from Ukraine in Romania, including language courses, yoga, drawing classes, chess, music, and more. You can find the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the outcomes or benefits of participating in courses and activities for refugees from Ukraine?,"The outcomes or benefits of participating in courses and activities for refugees from Ukraine in Romania include access to free language courses, yoga, drawing classes, chess, music, and more. These activities can help refugees develop new skills, integrate into their new community, reduce stress, and provide a sense of belonging. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
When does the school year typically start in Romania?,"The school year typically starts in Romania in September. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the major holidays observed in schools and kindergartens in Romania?,"The major holidays observed in schools and kindergartens in Romania include days off listed in the school year structure for 2024-2025. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do schools and kindergartens have a break for Christmas and New Year's?,"Based on the information provided, Romanian educational institutions have breaks for Christmas and New Year's during the 2024-2025 school year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How long is the winter break for students in Romania?,"The length of the winter break for students in Romania is not specified in the given information. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the dates for the Easter holiday break in schools and kindergartens?,"The dates for the Easter holiday break in schools and kindergartens in Romania for the 2024-2025 school year are not provided in the information given. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do schools in Romania have a break for International Workers' Day on May 1st?,"Based on the information provided, it is not clear whether schools in Romania have a break for International Workers' Day on May 1st in the 2024-2025 school year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
When do schools usually close for the summer holidays in Romania?,"Schools in Romania usually close for the summer holidays in 2024-2025 according to the structure of the school year provided by Dopomoha. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any specific holidays or events unique to schools and kindergartens in Romania?,"Yes, there are specific holidays and events unique to schools and kindergartens in Romania, as indicated by the list of days off in Romanian educational institutions provided by Dopomoha in 2024-2025. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the typical duration of the summer break for students in Romania?,"The typical duration of the summer break for students in Romania is not specified in the provided information. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do schools and kindergartens in Romania have any special days off for national celebrations or observances?,"Yes, schools and kindergartens in Romania have special days off for national celebrations or observances as indicated in the list of days off provided by Dopomoha for the 2024-2025 school year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Can parents access a calendar of holidays for schools and kindergartens in Romania?,"Yes, parents can access a calendar of holidays for schools and kindergartens in Romania through the Dopomoha website, which provides information on the structure of the school year including a list of days off in Romanian educational institutions. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any religious holidays that are observed in schools and kindergartens in Romania?,"There is no specific mention of religious holidays being observed in schools and kindergartens in Romania based on the information provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do schools and kindergartens in Romania have a break for Halloween?,"There is no mention of a break for Halloween in Romanian schools and kindergartens according to the information provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the policy on makeup days for holidays that fall on weekends or during school breaks?,"The policy on makeup days for holidays that fall on weekends or during school breaks is not specified in the information provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any regional variations in the holiday calendar for schools and kindergartens in Romania?,"Based on the information provided, there are no indications of regional variations in the holiday calendar for schools and kindergartens in Romania. The list of days off seems to apply to all educational institutions in the country. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the protocol for announcing any changes or updates to the holiday calendar for schools and kindergartens in Romania?,"The protocol for announcing changes or updates to the holiday calendar for schools and kindergartens in Romania involves reporting any mistakes, inconsistencies, or omissions via email to dopomoha@code4.ro. Feedback will be integrated by Dopomoha, a Commit Global solution. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any specific rules or guidelines regarding family vacations during the school year in Romania?,"There may be specific rules or guidelines regarding family vacations during the school year in Romania, as the structure of the school year is outlined with a list of days off in educational institutions. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any special activities or events that schools and kindergartens plan around holidays in Romania?,"Yes, schools and kindergartens in Romania plan special activities or events around holidays, as indicated by the list of days off provided for the 2024-2025 school year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the procedure for requesting time off for religious holidays in schools and kindergartens in Romania?,"The procedure for requesting time off for religious holidays in schools and kindergartens in Romania is to refer to the list of days off provided for the specific school year, as outlined by the educational institutions. If there are any discrepancies or omissions in the schedule, individuals can report them by sending an email to dopomoha@code4.ro for further assistance. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do schools and kindergartens in Romania provide any educational resources or materials related to holiday celebrations?,"It is not clear from the provided information whether schools and kindergartens in Romania provide educational resources or materials related to holiday celebrations. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any restrictions on how schools and kindergartens in Romania can observe certain holidays?,"There are no specific restrictions mentioned regarding how schools and kindergartens in Romania can observe certain holidays. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the role of parents in helping to plan or participate in holiday celebrations at schools and kindergartens in Romania?,"The role of parents in helping to plan or participate in holiday celebrations at schools and kindergartens in Romania may involve providing feedback on the structure of the school year and days off, as indicated by the information provided by Dopomoha. Parents can offer input on any mistakes, inconsistencies, or omissions in the school calendar to ensure that holiday celebrations are well-coordinated and inclusive. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How do schools and kindergartens in Romania typically handle scheduling conflicts related to holidays?,"Schools and kindergartens in Romania typically handle scheduling conflicts related to holidays by following the structure of the school year, which includes a list of days off for educational institutions. Any mistakes, inconsistencies, or omissions can be reported via email for corrections and adjustments. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What is the policy on making up missed school days due to holidays or other reasons in Romania?,"The policy on making up missed school days due to holidays or other reasons in Romania is not specified in the information provided. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How do I access support services in Italy?,"To access support services in Italy, you can contact the Poland Hotline at +48 47 721 75 75 or visit www.ua.gov.pl. You can also reach out to the Moldova Hotline at 0 8000 15 27 or visit https://igm.gov.md/en/temporary-protection/. Additionally, you can contact the Hungary Hotline at +36 1 463 9292 or visit http://www.bmbah.hu/index.php?option=com_k2&view=item&id=1736:2022-03-04-12-25-49&lang=hu. For support services in the Slovak Republic, you can reach the Hotline of the Slovak Interior Ministry at +421 513 816 111 or +421 259 765 111, and find out more at https://www.mic.iom.sk/sk/novinky/760-informatsiya-ukrayina.html. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Are there support groups available in France?,"Based on the information provided, it appears that there are support groups available in Poland, Moldova, Hungary, and The Slovak Republic for individuals seeking assistance. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Can I receive assistance in Spain if I am not a citizen?,"Yes, you may receive assistance in Spain if you are not a citizen by contacting the respective hotlines and resources provided for citizens of Poland, Moldova, Hungary, and the Slovak Republic. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
What resources are available for mental health support in Germany?,"In Germany, mental health support resources may include hotlines, counseling services, and online platforms. It is recommended to contact local mental health organizations or healthcare providers for more information on available support options. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
How can I find legal aid in the Netherlands?,"To find legal aid in the Netherlands, you can contact the Poland Hotline at +48 47 721 75 75 or visit www.ua.gov.pl. Additionally, you can reach out to the Moldova Hotline at 0 8000 15 27 or visit https://igm.gov.md/en/temporary-protection/ for more information. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Are there language barriers for accessing support in Portugal?,"Yes, there may be language barriers for accessing support in Portugal as the provided information is in various languages such as Polish, Moldovan, Hungarian, and Slovak, which may be challenging for individuals who do not speak those languages. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
What types of social services are available in Sweden?,"The types of social services available in Sweden are not provided in the information given. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
How do I contact emergency services in Norway?,"To contact emergency services in Norway, dial 112. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Is there financial assistance for individuals in Belgium?,"There is no information provided in the text about financial assistance for individuals in Belgium. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
What support is available for victims of domestic violence in the UK?,"Victims of domestic violence in the UK can receive support through organizations such as Dopomoha, which provides information on hotlines and resources in countries like Poland, Moldova, Hungary, and the Slovak Republic. These hotlines offer assistance and guidance to individuals experiencing domestic violence. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Can I receive healthcare support in Greece as a foreigner?,"Based on the information provided, it seems that healthcare support for foreigners in Greece is not specifically mentioned. The resources listed are for Poland, Moldova, Hungary, and the Slovak Republic. It is recommended to check with local authorities or healthcare providers in Greece for information on receiving healthcare support as a foreigner. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
How can I access housing support in Denmark?,"To access housing support in Denmark, you can contact the Dopomoha hotline for assistance and more information. You can reach them at +48 47 721 75 75 or visit their website at www.ua.gov.pl. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Are there support hotlines in Switzerland?,"Based on the information provided, there are support hotlines in other countries such as Poland, Moldova, Hungary, and the Slovak Republic, but no specific information is given about support hotlines in Switzerland. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
What services are available for refugees in Austria?,"Services available for refugees in Austria include hotlines for Poland, Moldova, Hungary, and the Slovak Republic, as well as online resources for more information and assistance. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
How do I find employment support in Finland?,"To find employment support in Finland, you can contact the Dopomoha hotline at +48 47 721 75 75 or visit their website at www.ua.gov.pl for more information. Additionally, you can reach out to the Moldova Hotline at 0 8000 15 27 or visit https://igm.gov.md/en/temporary-protection/ for support. You can also contact the Hungarian Hotline at +36 1 463 9292 or visit http://www.bmbah.hu/index.php?option=com_k2&view=item&id=1736:2022-03-04-12-25-49&lang=hu for assistance. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
Can I receive disability support in Ireland?,"Unfortunately, the information provided does not specify disability support services in Ireland. For more details, visit https://dopomoha.ro/en/legal-status.",,English,No,Scraped
